timestamp	left_x	left_y	right_x	right_y	target_id	tar_x	tar_y
4069159.643	417.2565918	258.1565552	421.1921387	248.9240112	-1	-1	-1
4069160.478	415.8046875	257.8307495	422.8022461	246.8591309	-1	-1	-1
4069161.312	416.8582764	260.1858521	422.8653565	246.9143066	-1	-1	-1
4069162.143	418.05896	259.8245544	420.9921875	247.7392883	-1	-1	-1
4069162.978	417.1914063	259.5431519	421.958252	245.1261292	-1	-1	-1
4069163.812	417.3154297	258.7179871	421.3758545	244.1627808	-1	-1	-1
4069164.643	418.7833252	258.8428345	422.4606934	246.927948	-1	-1	-1
4069165.477	417.6645508	257.5767212	420.614624	245.3235779	-1	-1	-1
4069166.312	418.7354736	258.5853882	422.8546143	246.69104	-1	-1	-1
4069167.143	415.359375	257.9771118	421.4897461	245.2622681	-1	-1	-1
4069167.977	417.4289551	257.7331848	419.5081787	244.4032898	-1	-1	-1
4069168.812	417.060669	259.6282349	419.4360352	244.347229	-1	-1	-1
4069169.643	414.8499756	257.8237305	419.2539063	242.0397949	-1	-1	-1
4069170.477	414.4659424	258.4395752	417.2062988	240.5232849	-1	-1	-1
4069171.312	415.9421387	258.3727417	418.7282715	242.2034607	-1	-1	-1
4069172.143	416.3299561	258.3041992	418.5484619	240.8471985	-1	-1	-1
4069172.977	415.4095459	257.9981079	421.3304443	241.8813782	-1	-1	-1
4069173.811	415.4433594	259.2554627	418.3674316	242.2272949	-1	-1	-1
4069174.643	413.7338867	257.5018616	419.6297607	240.9057007	-1	-1	-1
4069175.477	416.2408447	259.4335938	418.7828369	242.5812683	-1	-1	-1
4069176.312	415.8284912	258.1658936	420.0880127	242.7771606	-1	-1	-1
4069177.144	413.7810059	258.210083	420.0393066	241.7637024	-1	-1	-1
4069177.978	414.4619141	258.6933289	417.9462891	241.7982483	-1	-1	-1
4069178.812	415.2198486	256.6053772	420.5270996	244.0297546	-1	-1	-1
4069179.644	414.3848877	258.2829895	419.9643555	241.4680481	-1	-1	-1
4069180.478	415.4711914	257.5835266	418.2237549	241.6191101	-1	-1	-1
4069181.312	413.2734375	257.0561218	419.8223877	244.3086548	-1	-1	-1
4069182.144	414.8222656	258.6593323	419.1505127	244.3388367	-1	-1	-1
4069182.978	413.7827148	259.4040833	417.6070557	239.3864441	-1	-1	-1
4069183.812	415.7194824	259.6592407	418.7036133	243.9519348	-1	-1	-1
4069184.643	413.3542481	258.6142883	420.9315186	243.0404053	-1	-1	-1
4069185.478	414.2489014	259.909668	418.5544434	240.2243347	-1	-1	-1
4069186.312	415.8436279	260.4132996	420.6662598	243.332428	-1	-1	-1
4069187.143	415.6968994	261.0951538	419.9644775	242.8443604	-1	-1	-1
4069187.978	414.0306397	257.564148	418.8417969	241.460022	-1	-1	-1
4069188.812	414.3044434	258.5061035	419.0117188	240.8247681	-1	-1	-1
4069189.646	414.5787354	256.4128723	419.4998779	239.5979309	-1	-1	-1
4069190.478	414.7261963	257.8392944	418.2653809	244.9962463	-1	-1	-1
4069191.312	413.2674561	258.6073303	419.4224854	245.1704712	-1	-1	-1
4069192.146	413.7102051	259.1617127	419.7191162	246.2324524	-1	-1	-1
4069192.978	414.7087402	258.8994446	420.0941162	242.0430298	-1	-1	-1
4069193.812	414.0611572	254.7998657	421.9338379	243.2854309	-1	-1	-1
4069194.646	413.1384277	258.5697327	420.645874	241.5339661	-1	-1	-1
4069195.477	414.8814697	258.3538513	419.7322998	245.2182922	-1	-1	-1
4069196.312	413.4376221	259.0916748	419.0357666	241.4794617	-1	-1	-1
4069197.146	414.8057861	259.5407715	421.2977295	239.5711365	-1	-1	-1
4069197.977	415.4752197	260.1798096	419.6555176	236.6419067	-1	-1	-1
